link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.0722843194731492, 0.18899698631261244, 0.39617042213704545]","[-0.1376844180449664, 0.3599942596427489, 0.4469912802610012]","[-0.2075163105302107, 0.5571294856498958, 0.46599679154168827]","[-0.29979061706318755, 0.7202624369837489, 0.5342432752823535]","[-0.23637403981038257, 0.7981061373350913, 0.5214297650236661]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10924248186834318, -0.1793468931027591, 0.3391213136895306]","[0.20808091784525773, -0.3416131297190571, 0.33832631178954287]","[0.32439112910730317, -0.5164598995470593, 0.33906240749793615]","[0.3829099727522886, -0.705631381044273, 0.3630245761519418]","[0.48130744013658333, -0.7263089150486487, 0.37468081910816703]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16192262793707093, -0.12588517028040458, 0.29490026091620447]","[0.30842405321403277, -0.23978127672384048, 0.2540957350784463]","[0.3057163239455214, -0.42803116774442107, 0.3471260889042164]","[0.3639419969325259, -0.5983735101253022, 0.43301990356746856]","[0.3012579701820408, -0.6386818932504787, 0.5015139692971243]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.15604042899435022, 0.13749395538588383, 0.3109002276365652]","[-0.2972198647505324, 0.261893248354766, 0.284571862164925]","[-0.48216347282200006, 0.3238481851761497, 0.36240146859439165]","[-0.6340195250993758, 0.35779213163688217, 0.4871894403120288]","[-0.7189788771414106, 0.40762734844797577, 0.4638688557141065]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.008237217047963721, -0.1955990422860994, 0.2640186673447653]","[-0.01568993723514675, -0.3725696043544501, 0.1952736520853039]","[-0.021175854332290522, -0.5723114070521944, 0.13067398514608008]","[0.03433874894957217, -0.756053882308082, 0.07644003259514713]","[-0.025230032688293325, -0.8120850028636715, 0.016794716069326726]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11601261140063734, 0.0549733614941761, 0.5061896612970715]","[-0.22097640266745414, 0.1047111647516391, 0.6565517358039696]","[-0.2686735351306612, 0.18088886895777315, 0.8463462060518407]","[-0.2545015268393624, 0.26853791898107765, 1.0249555233088177]","[-0.32966053356345626, 0.2771199203185354, 1.0922085006502824]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10518281461646446, -0.13108583010024316, 0.46590901737480384]","[-0.2003482183163643, -0.2496872954296352, 0.5798266997614998]","[-0.3575602184427555, -0.11695136358831099, 0.6218452601185]","[-0.49436662300323203, -0.009159566653488271, 0.7190534191628787]","[-0.5139875627311045, 0.08095269879135172, 0.6773366558584959]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.018623986824276954, -0.053959948960228855, 0.5420927287731517]","[0.03547426061677863, -0.10278085516260847, 0.7249385309964901]","[-0.13719848707207802, 0.0037147538970281058, 0.7791861803151241]","[-0.2834070030512995, 0.1393334636826684, 0.7830753204812821]","[-0.31611513106982464, 0.16118502547768396, 0.8763393414574465]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.10440920632824771, -0.16758834569206732, 0.4115042937319259]","[0.19887467872126857, -0.3192158965558381, 0.47619865472744094]","[0.29786202289409236, -0.4930927635533082, 0.5399822013265049]","[0.3931104730934183, -0.6683417941627937, 0.5399799513969006]","[0.38053090310133714, -0.7276715045128445, 0.621018398374822]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1870788057189818, 0.07352887687218908, 0.40078671496860063]","[0.3563405823215405, 0.1400550035669445, 0.4557842189877733]","[0.5361347953558075, 0.22629630869494682, 0.5216361608665616]","[0.6989057614316591, 0.3410301296051741, 0.5328723943134913]","[0.7487927003412778, 0.355036643846826, 0.6198241101391516]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.14945138696206128, 0.13646480849859807, 0.28394967460792786]","[-0.28466930849978384, 0.2599329685680641, 0.23323747544363432]","[-0.2417213751833611, 0.3985547474206751, 0.08144986906028738]","[-0.18871500861297671, 0.47844909825122595, -0.09345498452694428]","[-0.25126462012543793, 0.5557039639385752, -0.11255267620080364]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.1713368632479458, -0.12095268397619388, 0.35068304878345696]","[-0.3263559299966221, -0.23038606471579856, 0.3603486643494811]","[-0.3702944453739083, -0.1973906915032686, 0.5630324382757771]","[-0.3549152836425783, -0.18783732667918504, 0.7616695561691345]","[-0.3762114088374054, -0.10619090299727868, 0.7057604643178005]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.009011222816923856, -0.014764002647846884, 0.5492864594023181]","[0.017164233937812336, -0.02812190980497139, 0.7386408750520311]","[0.17178962051396018, -0.11878406688046933, 0.6292271505902682]","[0.28245672549175777, -0.18827519504882687, 0.4785345330480606]","[0.33908845887213246, -0.12464485192418467, 0.533211001553026]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.034817317483017494, -0.09420950780395593, 0.5244243016595783]","[-0.06631869996679167, -0.17944668153169957, 0.6912843841134637]","[-0.22454524258883635, -0.2995412388070787, 0.6231546657615951]","[-0.4017414589032813, -0.35863334473378117, 0.5531967216737946]","[-0.3843712792050066, -0.4063485773856191, 0.6407582624907001]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.06365694412093453, -0.19511312955779847, 0.3844821328102194]","[-0.12125132213423154, -0.37164405630086494, 0.4247278720194271]","[0.0034371481945179028, -0.353478965418506, 0.2567313993174318]","[0.10911953843961342, -0.2767766356654399, 0.10595847402069532]","[0.08210184025690831, -0.33959376082666903, 0.031329104658582074]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.016451582334503532, -0.01018844640790111, 0.5491065302626496]","[-0.03133634730335972, -0.019406564587289822, 0.7382981528812337]","[0.007279088191690937, -0.223088556454852, 0.771801799405006]","[0.09362214243705128, -0.3928818376356386, 0.8309592896276742]","[0.07710037932038383, -0.38984633508318245, 0.7311429228947043]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.04343524386148151, 0.20545867589129868, 0.3396651990323877]","[-0.0827337978323035, 0.39134985884037643, 0.3393622838711754]","[-0.2560748676824083, 0.4415774016577767, 0.23198413224922132]","[-0.41172496256796975, 0.43280441527768243, 0.1075631827588304]","[-0.4372489515773666, 0.521310655556269, 0.06560294662034713]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.16165150200737688, 0.1328131890365607, 0.32184927779128847]","[0.3079076228706009, 0.25297750292749904, 0.3054271957928913]","[0.2838510707275927, 0.45010196617112863, 0.2371393616648298]","[0.3024619970957556, 0.6476096806345777, 0.21643124376040643]","[0.2037470867489585, 0.6310518706290889, 0.23148765113553985]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.013374455881103232, -0.13354699409421333, 0.5015126134340121]","[0.025475154058315422, -0.2543752268461832, 0.6476430732076671]","[0.22022049021214762, -0.2904848184829096, 0.5778551699710758]","[0.388976615057135, -0.3825662116735168, 0.5246867831666988]","[0.47328989011070555, -0.3364440211143853, 0.4929140717972217]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011509392878645178, -0.13362254792380568, 0.5015937763712305]","[0.02192265310311084, -0.25451913890243727, 0.6477976692785092]","[-0.1288795662049761, -0.29089261196848715, 0.5062502881339999]","[-0.2773827179651528, -0.37704595813398156, 0.40471751085600716]","[-0.33809254670843003, -0.29615974117290494, 0.4005670169471327]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.15254359489784078, -0.052622316868938965, 0.4743924976439846]","[0.29055922837651244, -0.10023298451313598, 0.5959857097980962]","[0.31996650505873553, -0.3009393332139888, 0.5416518007788949]","[0.2888288410822915, -0.4948126714385246, 0.5066080480151741]","[0.3679176101265339, -0.49406498782657615, 0.569773684086403]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.016450164424650415, -0.1946465964530939, 0.26291501715879817]","[0.03133364652221782, -0.3707554218155097, 0.19317146125489024]","[-0.08060845918525439, -0.3799332662269884, 0.3706108372167546]","[-0.14507712466781092, -0.43170386809453887, 0.5521269135107562]","[-0.23506397060016349, -0.44462626420047674, 0.5076199563239489]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.2003365908173474, 0.05388119939676224, 0.37258936530908615]","[0.38159350631852107, 0.1026308559947329, 0.4020749815410777]","[0.3607164297593726, -0.09733317264196836, 0.34142405470789594]","[0.31928004208459543, -0.25975265772201794, 0.2333156524313053]","[0.386619067415042, -0.33383052275260583, 0.24826274512705948]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.03648083200090649, -0.02184590000553343, 0.5456499587879119]","[0.06948729904985665, -0.0416112381049996, 0.7317142072150623]","[0.08986055929016762, 0.12506504186061246, 0.8578250630681786]","[0.16759361848115872, 0.2642583100622248, 0.9776887172597807]","[0.11842517760480378, 0.3465787915910882, 1.0101123620679204]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04662684776820059, -0.13289957083192486, 0.4957679079267975]","[0.08881304336888868, -0.2531420396795765, 0.6367007770033973]","[0.18508649759583057, -0.16360848288015595, 0.8004541409934475]","[0.21947822095702307, -0.05823692886198695, 0.9662809632148338]","[0.3122644547090392, -0.02895498438877686, 0.9941874598416781]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.06795541908245764, 0.18749792964074793, 0.40577679984432735]","[-0.12943889349127435, 0.3571389136011192, 0.4652891425605862]","[-0.008460569057206213, 0.28437542319651354, 0.6207552786843872]","[0.05228057955272418, 0.21441144649460378, 0.7973906229097177]","[0.14649460059089037, 0.18445538633425868, 0.8191125634190225]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.007611064781428509, 0.008405561613480361, 0.5496936294379371]","[-0.014497266251055945, 0.016010593548891082, 0.73941643702464]","[0.12638505826195667, -0.13385176206322216, 0.697067351908209]","[0.2606681937207366, -0.24718974602881888, 0.602690284132329]","[0.332319965450926, -0.28946450280653374, 0.6603475347371738]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.008039619966243285, 0.04371001552732941, 0.5452432679855761]","[0.015313561841371476, 0.08325717243280234, 0.7309395580677723]","[0.055903300648547725, 0.16429786099376026, 0.920372606665769]","[0.03641986195497465, 0.2604232795526554, 1.0940527423277122]","[0.07356057240717412, 0.18476719881979398, 1.150108206604165]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.13048384973729177, -0.03377457676542539, 0.5010380170085692]","[0.2485406661660077, -0.06433252717313204, 0.6467390800163476]","[0.43340182382069814, 0.034338127057489065, 0.6329385588570243]","[0.6001574841800791, 0.13293642905519515, 0.6804297641615431]","[0.5935274500678892, 0.2033303178018639, 0.6079988793485517]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.1230778154535731, -0.05273309745705636, 0.5017747562994944]","[-0.23443393419762076, -0.10044399515543079, 0.6481423929514429]","[-0.07891911857565419, -0.22839773347057093, 0.7076653546825797]","[0.040854794272582706, -0.3870533137675729, 0.7240087521765067]","[0.13490926339750264, -0.3497776499533836, 0.7271347279987121]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.18418841082516738, -0.022418274314002447, 0.2416534174743143]","[0.3508350682385082, -0.042701474882888474, 0.15267317614151635]","[0.4054364181597468, -0.13676932845198794, -0.026965159164956815]","[0.43642936023930157, -0.27523031300725903, -0.1671524742017971]","[0.4454844281624714, -0.25019027980059033, -0.2648074407007712]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.037618913320809445, 0.008570784189715255, 0.5464251898847008]","[0.07165507299184899, 0.016325303219420925, 0.7331908378756131]","[0.06822885828692256, 0.11360935327332283, 0.9192662920814425]","[0.004506697442272074, 0.20374660960059962, 1.085396515818965]","[0.06916008457967206, 0.26708945517322047, 1.040085220908925]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.0034758091297217852, -0.03611282266706337, 0.5468424105204515]","[0.00662058881944742, -0.06878632888959395, 0.7339855438484723]","[0.08115299755509675, -0.16669406518505664, 0.9041589707445662]","[0.19994631632767668, -0.2231755477031464, 1.0541005578628666]","[0.17942279618938012, -0.3109002650825966, 1.0079632727040222]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011010892139893522, -0.18696836980093096, 0.2450179546005355]","[0.020973127884583803, -0.3561302281923221, 0.1590818182867693]","[0.15825593201542887, -0.3262181320998837, 0.0030090846100352675]","[0.2401807509199672, -0.2689900699475061, -0.16961120084257955]","[0.260483926159794, -0.36802002343282597, -0.17474339217535753]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.14535553223115644, -0.1346935695908319, 0.2705060321993559]","[-0.2768676804409399, -0.2565591801723396, 0.20763053752261965]","[-0.42962642837992976, -0.35482034824934383, 0.10222888774305094]","[-0.6052240333722468, -0.4362670510613734, 0.0540998349577403]","[-0.6185242077126769, -0.40129823709602797, -0.03995215817569217]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.09982223619629726, -0.13642806258785767, 0.4645909503105833]","[0.19013759275408731, -0.25986297635835476, 0.5773160958297141]","[0.30522776574388133, -0.3887039379371612, 0.6967072960943391]","[0.4562702866589198, -0.4985052937468447, 0.7668094297136904]","[0.4337146769618497, -0.44027061816005897, 0.8464678067401855]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.19740132753800532, 0.04959008297629476, 0.28829371840252527]","[-0.3760025286440369, 0.09445730090632343, 0.2415118445762005]","[-0.2827304672740209, -0.04128991784207535, 0.1112313196698955]","[-0.14484705329581135, -0.13740377921214075, 0.003831227480691368]","[-0.16066444894281656, -0.23474317387059054, -0.018979783949594986]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-4.814118323409459e-05, -0.00311178868592954, 0.5499769379089061]","[-9.16974909448429e-05, -0.005927216544681353, 0.7399560722074395]","[0.13439170331304937, -0.13907802095043537, 0.8309784771102594]","[0.21323633960410882, -0.275501756354174, 0.9532755651648049]","[0.31345979779558053, -0.27990338027241235, 0.9667430866526169]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11856687808055243, 0.09353699961360842, 0.48592026975549096]","[-0.2258416725337879, 0.17816571355044397, 0.6179433709628681]","[-0.24540824742737377, -0.0023994054525472014, 0.7233634209835798]","[-0.25135913690197653, -0.19673795099714586, 0.7678786614083041]","[-0.18364942211105817, -0.15680401297157778, 0.8316451503872545]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.10579185311836098, 0.1806082772699705, 0.32300782546709816]","[-0.20150829165482215, 0.3440157662280423, 0.30763395327062404]","[-0.308473185976466, 0.29571986514110066, 0.4817776218921386]","[-0.4425398523472128, 0.21696044914272405, 0.606707895884592]","[-0.3545135840611556, 0.18954976715543245, 0.6484873238919573]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.12156596664225597, -0.17060685501424394, 0.3546634503607665]","[0.23155422217648486, -0.32496543812183176, 0.36793038163951597]","[0.35748585637120583, -0.20248862418193722, 0.48299842045212227]","[0.43027119150460086, -0.09128177814411687, 0.6317257628738837]","[0.49654478973502947, -0.018036221756361936, 0.609626245977808]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.011193288711197714, -0.10178185611465601, 0.523344386479879]","[0.021320549925162413, -0.19387020212322192, 0.6892274028188362]","[0.10832137366424252, -0.08399391486164835, 0.8456181255818368]","[0.22563313696880194, -0.03021769737749501, 0.9977054643825144]","[0.22215579597860904, 0.028453388112064118, 0.9152973226299256]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.04751989979405441, -0.06615960563350382, 0.5335581713748667]","[0.09051409484504125, -0.12601829644528253, 0.7086822311902375]","[0.2521295408355243, -0.11246196159913963, 0.5752780580814607]","[0.359604294960312, -0.09410382228303471, 0.4082551675943574]","[0.40010361415203083, -0.18028405021762692, 0.4425810100188202]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.014061860375135505, -0.056533911464687246, 0.5417577283211057]","[0.026784495953551007, -0.10768364088493063, 0.7243004348973333]","[0.06200835064095267, -0.19087432238586435, 0.9138751973853053]","[0.101158351676566, -0.320814946126203, 1.060050440572663]","[0.164216883287227, -0.2749427584040583, 1.1245861205078092]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.06439930050452487, 0.04786089728457111, 0.5340671651919603]","[0.12266533429485889, 0.09116361387460518, 0.7096517432227968]","[0.2806790856668746, -0.028291816100850492, 0.77938017807345]","[0.3854526262040049, -0.1649995214954802, 0.879968440256716]","[0.4070160360443411, -0.19029949703942717, 0.7843628933803273]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1713855121270653, 0.11371338987538761, 0.38238243971259345]","[0.3264485945282512, 0.2165969330951968, 0.42072845659545455]","[0.4095992027069081, 0.026982722630926215, 0.4558344040905834]","[0.5332394732333215, -0.12952585823750573, 0.4542103293679228]","[0.5318936748227039, -0.15025077311839602, 0.553276755213503]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.08752114959762566, 0.13384578738190162, 0.4761078747656756]","[0.16670695161376037, 0.2549443569184383, 0.599253094791733]","[0.2131611359748909, 0.43551352862895265, 0.6958801250840941]","[0.296933092164235, 0.5702303890942945, 0.8167855296885708]","[0.31124559869214297, 0.6520172000592316, 0.7588928729083345]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11312383264967538, 0.15705686836034616, 0.42146249804351155]","[-0.21547396695099896, 0.2991559397345241, 0.4951666629400583]","[-0.05436366126400716, 0.2341011949021906, 0.6131130472688882]","[0.11007446161693774, 0.13938790986545804, 0.6745458347763904]","[0.0687975288125588, 0.10999551184969938, 0.7621688440670216]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.057162763226211714, -0.11182509003211882, 0.5083079550694279]","[0.10888145376337013, -0.21300017149014555, 0.6605865810846482]","[0.2692665331336185, -0.3264364540259924, 0.5863650470136882]","[0.37871251538989337, -0.4506128141040018, 0.4750712980170094]","[0.47979414655240094, -0.45443004881719257, 0.478734979317445]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.015315710612346337, -0.20473980593143665, 0.29587471387518816]","[-0.029172782119683244, -0.38998058272648484, 0.2559518359527779]","[-0.22146392643616983, -0.3432569290721422, 0.3262441968936735]","[-0.38862662541093035, -0.34092731274598703, 0.4350361771093424]","[-0.4021011103124027, -0.3619655626039664, 0.3369478480403181]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.009911896098097332, -0.0010471672404464979, 0.5497633374937362]","[0.018879802091750747, -0.001994604266596054, 0.7395492142737813]","[0.06405182640741904, 0.01242933680013356, 0.9441254546912065]","[0.054232930188415594, -0.005129166995757302, 1.1425688426422542]","[0.06710519291259712, 0.09522496088323341, 1.1455427071325812]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.0924699325306714, 0.17850251983466878, 0.40071377101158145]","[0.17613320481950573, 0.34000479968552144, 0.4556452781172603]","[0.2926161878436071, 0.4771506517297234, 0.5639168345523498]","[0.41390483883687396, 0.628615822290979, 0.6100888525619971]","[0.46452946651744753, 0.5551894571637797, 0.6579553959551699]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[0.018678715351623746, -0.0022126094449265847, 0.5491559464903097]","[0.035578505431812575, -0.004214494179893289, 0.7383922790291577]","[-0.1432294387962202, 0.09270519512644879, 0.6861018123482525]","[-0.30328506636129815, 0.15407693436284084, 0.584120462544235]","[-0.37745480422762206, 0.1469120085105605, 0.6526259646763419]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.031770740021402205, 0.001598314624948245, 0.5475766496233431]","[-0.06051569527877579, 0.003044408810352464, 0.7353840945206594]","[-0.07849018461271558, -0.19564924621147675, 0.6698268738104248]","[-0.07459985896200802, -0.3591318959432247, 0.5556218887921779]","[-0.04009445595995491, -0.4351522106484781, 0.612856309517648]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[0.05461623911909079, -0.10557239510311706, 0.5131228922375018]","[0.10403093165456989, -0.20109027638728838, 0.6697578899762162]","[-0.08934499396859563, -0.15114793253528266, 0.7346540661343846]","[-0.24064106305764152, -0.07301980229629748, 0.8385289174871682]","[-0.33585121039788635, -0.06960724167392202, 0.8043401434019884]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.12473981460682686, 0.11618673494744228, 0.46264021067377237]","[0.23759964687076374, 0.22130806656586022, 0.5736004012834076]","[0.4142570060907912, 0.19578829638465808, 0.4629617156291359]","[0.6016276756536747, 0.21450620747410093, 0.3971866292209493]","[0.6404881148640753, 0.1667392497727362, 0.3168518670296614]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.03894690643914121, 0.1900732909636012, 0.25965522704564425]","[0.07418458369268788, 0.3620443637403648, 0.18696233722976227]","[0.09588983287118927, 0.5643439913347537, 0.13496481004557057]","[0.12163610497638577, 0.7317290788030704, 0.029589993481511687]","[0.09520592781335996, 0.8225499148110305, 0.06562485829250095]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.20482567159018472, -0.01893268855874928, 0.38228472019024334]","[0.39014413636235007, -0.036062263920501575, 0.42054232417185355]","[0.5591977842542263, 0.08823565652137273, 0.428962009930538]","[0.7478666232748388, 0.1528658325533053, 0.42557091442972217]","[0.7203710639438158, 0.22454979754178495, 0.3596096122851724]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.11450934884024688, -0.11400884917379703, 0.47412528224853445]","[0.21811304541066825, -0.21715971271135273, 0.5954767280924164]","[0.040457790959620266, -0.30876193757719017, 0.659878924992537]","[-0.09495004095637175, -0.402776823235905, 0.7721750083186674]","[-0.07408479435324983, -0.4491260274777506, 0.6846428270917689]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.01938319475432701, 0.20904126155333697, 0.34510320774662323]","[-0.03692037095969636, 0.39817383153025065, 0.34972039570789293]","[-0.11624941519257886, 0.5382946207062268, 0.21491287669727174]","[-0.15576592425037647, 0.6400924090879258, 0.04799928889663804]","[-0.24093735675208472, 0.6940195278936503, 0.03887882054680783]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.017138211140770007, -0.0785628308221, 0.5339952662621242]","[0.032644211697621425, -0.1496434872800277, 0.7095147928802216]","[0.18408147299494132, -0.006439502598633448, 0.7351930845316976]","[0.2859304670864732, 0.16503014119964157, 0.7321216584401459]","[0.3495256042461141, 0.1791073588477484, 0.8096005618457456]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.07956579321251543, 0.19205968536969809, 0.36970457550876334]","[-0.151553891832501, 0.3658279721331092, 0.3965801438262547]","[0.009563053141085964, 0.4885320059202014, 0.3410369162034901]","[0.11657513030953245, 0.6394435236349519, 0.266480768495035]","[0.17785741537118213, 0.6548033580535834, 0.3455633014859233]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[0.06073384627088824, -0.11735233533174569, 0.5032171232111682]","[0.11568351670729406, -0.22352825777435326, 0.6508897584974386]","[0.19208901213258422, -0.3478800139676339, 0.801882609323108]","[0.291377304659588, -0.49253230742724874, 0.8967616848031399]","[0.23083841208740333, -0.5288718617436505, 0.9692873304618915]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.04949894433191398, -0.113465625215766, 0.5096331524331885]","[-0.09428370348851987, -0.216125000411384, 0.6631107665393836]","[-0.2215402938037493, -0.31246583209407713, 0.5266402408863005]","[-0.30335617084068733, -0.45015908187279, 0.4077654276159798]","[-0.3814332011399546, -0.4233950880682733, 0.46635856693517896]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.14680594817477755, 0.11946732134301499, 0.24902982515335415]","[0.2796303774751663, 0.2275568025588346, 0.16672347648254396]","[0.3662720605935426, 0.17453042327917084, 0.3505207067307282]","[0.3952469435807641, 0.14651700294093378, 0.5458670515566043]","[0.4291298911168752, 0.05120835376132832, 0.5421660708995317]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.060949064388175274, -0.12441335261540831, 0.49781802571696343]","[0.11609345597832516, -0.23697781450515681, 0.6406057632703805]","[0.15441664579263725, -0.394751005902091, 0.77379342485689]","[0.23672164039540655, -0.5071511070192262, 0.9165400364884658]","[0.18671746556816352, -0.5829072822210615, 0.9613292586142782]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.14853876852963419, -0.1406354078078636, 0.2924824630855546]","[-0.2829309876748475, -0.267876967253743, 0.2494904058772085]","[-0.4268500989326886, -0.3785092731536085, 0.14390734707499458]","[-0.5555311085293272, -0.5215302882754551, 0.09127012637797866]","[-0.492293719509252, -0.5118100982555233, 0.01283518176844814]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.06611769652463005, -0.031683828878107584, 0.5367856325901353]","[0.12593846957028873, -0.060350150244837454, 0.7148297763621762]","[0.16906621811357997, -0.007557783118733716, 0.9134574765422098]","[0.26554467818155003, 0.022210084547986467, 1.0854757046387977]","[0.23036696488319172, 0.11696349763764621, 1.080015924885109]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.1598458021268282, -0.11662121275013643, 0.4103477951262038]","[0.30446819452673274, -0.222135643334337, 0.4739958002404251]","[0.42289939906983265, -0.3915648043185356, 0.5109797048295975]","[0.5651820677040441, -0.5306523049688444, 0.4970226503703806]","[0.5593799339680574, -0.6203565207842809, 0.5435519842259959]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.09211130637033604, 0.02006444079084309, 0.5276510736833148]","[0.17545010737190495, 0.03821798245966529, 0.6974306165396295]","[0.2271500134328882, -0.16022763806190543, 0.7426683818369364]","[0.3125599041340745, -0.32003129212790143, 0.826049631033425]","[0.3354906821217815, -0.3487008837656161, 0.7317218835981917]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11070435000860891, 0.16030614284333095, 0.41839953734471247]","[-0.2108654285886003, 0.3053450339867805, 0.4893324520851302]","[-0.3638050607358101, 0.31591184036329667, 0.632851828901215]","[-0.512276669343854, 0.3834096805270755, 0.7476765344769959]","[-0.5776050769940448, 0.3198443845393568, 0.791689513243312]"
