link_pos_1,link_pos_2,link_pos_3,link_pos_4,link_pos_5,link_pos_6,link_pos_7
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.19264949303476023, 0.05389543862491134, 0.2761137375574506]","[0.3669514153045674, 0.10265797833227178, 0.21831188106184812]","[0.22963228300319227, 0.21898665171918974, 0.11009406528257262]","[0.12134057495885509, 0.2955586483190656, -0.03888286348677983]","[0.031492332030323734, 0.3373677743829971, -0.018272666485637384]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.11297706411659077, 0.04949162382820051, 0.5099610607005136]","[-0.21519440784152774, 0.09426975967192344, 0.6637353537152407]","[-0.05666746311989326, 0.22986943079979155, 0.6878587238620069]","[0.04837683021312063, 0.3932337733088011, 0.7332710353509269]","[0.09049474698351534, 0.3146334114012702, 0.78116210127065]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.014604400528582424, 0.08800418335426155, 0.5301104289547269]","[0.02781790576781644, 0.1676270159130666, 0.7021151027708917]","[0.07548257558598748, 0.36365719343456393, 0.7604267547112625]","[0.06745858477737599, 0.5437668753105682, 0.8457532339895489]","[0.11990267813803557, 0.6218656739857239, 0.808394370020259]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.07865956086285834, 0.17750584063074815, 0.2599728169505278]","[-0.14982773497771756, 0.33810636310579634, 0.18756727038192142]","[-0.19201324503546155, 0.44060976242802674, 0.00920405705429772]","[-0.18473816658358805, 0.5719366489663195, -0.140745308084997]","[-0.2790041347268688, 0.5957919715675338, -0.16885830923396686]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[-0.04489061993237355, 0.03842951530548944, 0.5415142788873095]","[-0.08550594272896428, 0.0731990767716786, 0.7238367216901024]","[-0.014316942702233375, 0.14128254560526238, 0.9093003772854253]","[0.03046582014154353, 0.25882977848502486, 1.0640958623435783]","[0.0059652919229500195, 0.203191199120479, 1.1450252303338513]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.09170526152248372, -0.13173685800535745, 0.47540880788179607]","[0.17467668861503283, -0.25092734858112253, 0.5979215388224387]","[0.17941526370088745, -0.4256987293748947, 0.7142508574037577]","[0.1485424097449201, -0.6118986062669896, 0.7787563822367687]","[0.2475015502177085, -0.5923645024162958, 0.7703303924648054]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.18658353860617877, -0.0948107123988999, 0.3227514656967708]","[-0.35539721639229727, -0.18059183314158972, 0.30714564894619084]","[-0.5437346882164483, -0.27282791582941734, 0.31816843250077886]","[-0.6998814823567575, -0.3788706159732218, 0.38264799845709596]","[-0.7516752344420242, -0.2939770670100601, 0.36378049757941777]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.34]","[0.0015983367303139722, -0.008226073056097124, 0.5498327358678152]","[0.003044450915804517, -0.01566871058290324, 0.7396814016529798]","[0.05880968851071651, -0.030738377480173308, 0.9415802461657414]","[0.05466570431416587, -0.06728032209358378, 1.1376210676260923]","[0.14451593435802854, -0.11070284968804653, 1.1545594931247356]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.000542879898224418, 0.05290523328390749, 0.5432258388409098]","[-0.0010340569480682474, 0.10077187292170009, 0.7270968358874571]","[-0.05894122716261734, 0.05021799703413405, 0.9225221803811737]","[-0.0692403083180478, -0.03923970690536696, 1.100498971377153]","[-0.1153665141938269, 0.002747941310191085, 1.180216601352158]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.09203327316032066, 0.1873503727425132, 0.3630155265992149]","[-0.175301472687162, 0.35685785284247606, 0.3838390982841797]","[-0.3792253202233263, 0.33613717667686166, 0.3381694367429885]","[-0.5736402676498441, 0.3743764482862234, 0.31525489280404567]","[-0.582127541304546, 0.2902653711819503, 0.37092160542720354]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.1032776599654121, -0.04936063158600672, 0.5160603674922304]","[-0.1967193523154421, -0.0940202506391592, 0.6753530809376029]","[-0.09125242750175745, 0.04736590162762874, 0.7893122127241224]","[0.036463492498228306, 0.19071369585867703, 0.8433912628974595]","[0.07247215656712303, 0.15539028735690016, 0.9311473049902411]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.07547563012845336, 0.19519418765285776, 0.35739707915869434]","[0.1437631050074444, 0.37179845267177153, 0.3731372936356474]","[0.07573032496938481, 0.43140148174868553, 0.5626604314451233]","[0.05173581813460992, 0.5329887646123301, 0.7326274211876548]","[-0.04603251427800903, 0.5335564230934473, 0.7588289658196892]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.3400000000000001]","[-0.1982534209287904, -0.06667846240497712, 0.3213033762047821]","[-0.37762556367418637, -0.12700659505621859, 0.3043873832472433]","[-0.5264775818348408, 0.0004765133183769199, 0.3798269866969656]","[-0.6236373032956489, 0.1333626483961255, 0.4924580376099199]","[-0.7221139371339335, 0.1552051154405496, 0.4840467819787023]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.025142586145160344, 0.13799625789499348, 0.4962846223046645]","[-0.04789064027557542, 0.2628500150382209, 0.6376849948660539]","[-0.2533344232993176, 0.2946120888568622, 0.6674175138248086]","[-0.43588331728046814, 0.3748273215331464, 0.6623275479164498]","[-0.4505335096506199, 0.3662102860637053, 0.762110354868529]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.1324446665752682, 0.11015956570069549, 0.46009696241121256]","[0.25227555538204094, 0.2098277441910713, 0.5687561188785323]","[0.3549917152543418, 0.2361302731111235, 0.7500226835657292]","[0.4849465881440402, 0.2998892338891365, 0.887248832432227]","[0.4022811217074329, 0.32081362540608704, 0.9417839632972345]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.13008500328692857, -0.09733878401313732, 0.4730528205138229]","[0.24778095864234603, -0.1854072076433412, 0.5934339438358228]","[0.3662654111428253, -0.2860355022486578, 0.7346266520062069]","[0.4325771968246615, -0.4218790615555734, 0.864756450571004]","[0.53333109939031, -0.43157691935641207, 0.8650608711132776]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.03465302056130895, -0.2063442171616932, 0.3220770479578413]","[0.06600575344919529, -0.3930366041176683, 0.3058610437292607]","[-0.030913880519543635, -0.5628286071091094, 0.3825243352808246]","[-0.17238802560505487, -0.6921629282354337, 0.4376803834633818]","[-0.10111401585743357, -0.7237812901323813, 0.37313749287541964]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[0.18592533969746605, 0.08045057577214262, 0.2846874976491517]","[0.3541435041860286, 0.1532391919460886, 0.23464285266508866]","[0.2556685274525027, 0.1917580737555597, 0.05320698327460795]","[0.20376036747509876, 0.18793901940598975, -0.13934287455872105]","[0.18964378755506112, 0.2857426849873203, -0.16126672390632532]"
"[0.0, 0.0, 0.15]","[0.0, 0.0, 0.33999999999999997]","[-0.14075424481625623, 0.09736206567819622, 0.46169170363291]","[-0.26810332346008364, 0.18545155367200256, 0.571793721205511]","[-0.35173525503113623, 0.20921738383242472, 0.7629504248245073]","[-0.4663834334921442, 0.27164262971613096, 0.9137594890478875]","[-0.37302812681559777, 0.28939469393410344, 0.9486183606780617]"
